Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.596206e-05
1.005776e+01	-1.614698e-05
1.011585e+01	-1.633405e-05
1.017428e+01	-1.652328e-05
1.023305e+01	-1.671471e-05
1.029215e+01	-1.690835e-05
1.035160e+01	-1.710424e-05
1.041139e+01	-1.730240e-05
1.047153e+01	-1.750285e-05
1.053201e+01	-1.770563e-05
1.059284e+01	-1.791075e-05
1.065403e+01	-1.811825e-05
1.071556e+01	-1.832816e-05
1.077746e+01	-1.854049e-05
1.083971e+01	-1.875529e-05
1.090232e+01	-1.897257e-05
1.096529e+01	-1.919238e-05
1.102862e+01	-1.941472e-05
1.109232e+01	-1.963965e-05
1.115639e+01	-1.986718e-05
1.122083e+01	-2.009734e-05
1.128564e+01	-2.033018e-05
1.135083e+01	-2.056571e-05
1.141639e+01	-2.080397e-05
1.148233e+01	-2.104499e-05
1.154865e+01	-2.128880e-05
1.161536e+01	-2.153543e-05
1.168245e+01	-2.178493e-05
1.174992e+01	-2.203731e-05
1.181779e+01	-2.229262e-05
1.188605e+01	-2.255088e-05
1.195470e+01	-2.281214e-05
1.202375e+01	-2.307643e-05
1.209320e+01	-2.334377e-05
1.216305e+01	-2.361422e-05
1.223330e+01	-2.388779e-05
1.230396e+01	-2.416454e-05
1.237503e+01	-2.444449e-05
1.244651e+01	-2.472769e-05
1.251840e+01	-2.501416e-05
1.259070e+01	-2.530396e-05
1.266343e+01	-2.559711e-05
1.273657e+01	-2.589366e-05
1.281014e+01	-2.619364e-05
1.288413e+01	-2.649710e-05
1.295855e+01	-2.680408e-05
1.303339e+01	-2.711461e-05
1.310867e+01	-2.742874e-05
1.318439e+01	-2.774651e-05
1.326054e+01	-2.806796e-05
1.333713e+01	-2.839313e-05
1.341417e+01	-2.872207e-05
1.349165e+01	-2.905483e-05
1.356958e+01	-2.939143e-05
1.364795e+01	-2.973194e-05
1.372678e+01	-3.007639e-05
1.380607e+01	-3.042483e-05
1.388581e+01	-3.077731e-05
1.396602e+01	-3.113387e-05
1.404668e+01	-3.149457e-05
1.412782e+01	-3.185944e-05
1.420942e+01	-3.222854e-05
1.429149e+01	-3.260191e-05
1.437404e+01	-3.297962e-05
1.445706e+01	-3.336169e-05
1.454057e+01	-3.374820e-05
1.462455e+01	-3.413918e-05
1.470902e+01	-3.453469e-05
1.479398e+01	-3.493478e-05
1.487943e+01	-3.533951e-05
1.496537e+01	-3.574892e-05
1.505181e+01	-3.616308e-05
1.513875e+01	-3.658204e-05
1.522619e+01	-3.700585e-05
1.531414e+01	-3.743457e-05
1.540259e+01	-3.786826e-05
1.549156e+01	-3.830697e-05
1.558103e+01	-3.875077e-05
1.567103e+01	-3.919970e-05
1.576155e+01	-3.965384e-05
1.585258e+01	-4.011324e-05
1.594415e+01	-4.057796e-05
1.603624e+01	-4.104807e-05
1.612886e+01	-4.152362e-05
1.622202e+01	-4.200468e-05
1.631572e+01	-4.249131e-05
1.640996e+01	-4.298358e-05
1.650474e+01	-4.348156e-05
1.660008e+01	-4.398530e-05
1.669596e+01	-4.449488e-05
1.679239e+01	-4.501036e-05
1.688938e+01	-4.553182e-05
1.698694e+01	-4.605931e-05
